skillset,questions,answers,qid
Java,What are the fundamental principles of object oriented programming?,"Inheritance, Abstraction, Polymorphism, Encapsulation",1
Java,What do you mean by inheritance in java?,"Inheritance is one of the key principle of object oriented programming. Through inheritance, one class can inherit the properties of another class. The class from which properties are inherited is called super class and the class to which properties are inherited is called sub class",2
Java,What is constructor overloading?,A class can have any number of constructors. These constructors will have different list of arguments. It is called constructor overloading. ,3
Java,What is the use of constructor overloading?,Constructor overloading provides different ways to instantiate a class.,4
Java,What is polymorphism in java?,Polymorphism refers to any entity whether it is a method or a constructor or an operator which takes many forms or can be used for multiple tasks.,5
Java, What is the method overloading in java?,"If a class has more than one method with same name but with different list of arguments, then it is called method overloading.",6
Java,What is the method overriding?,If a super class method is modified in the sub class then it is called method overriding.,7
Java, Does java supports multiple inheritance?,Java supports multiple inheritance but only through interfaces. That means a class can implement more than one interfaces but can not extend more than one class.,8
Java,What is the difference between constructor and method?,"Constructor is a special member of a class which is used to create the objects to the class. It is special because it will have same name as class. It will have no return type.

Method is ordinary member of a class which is used to implement some behavior of a class. It will have it’s own name and return type.",9
Java,Can we overload the main() method?,"Yes, we can overload a main() method. A class can have any number of main() methods. But, one of those must be in the form “public static void main(String[] args)” in order to start the execution.",10
Java,"How the exceptions are handled in java? OR Explain try, catch and finally blocks in java?","Java has it’s own mechanism to handle the exceptions. In Java, exceptions are handled using three blocks – try, catch and finally blocks. try block – The code to be monitored for exceptions will be kept in this block. catch block – If any exceptions occurred in try block, those exceptions will be caught by this block. finally block – This block will be always executed whether exception is raised or not and raised exceptions are caught or not.",11
Java,What are PATH and CLASSPATH?,PATH and CLASSPATH are two environment variables which need to be set in order to compile and run the java programs.,12
Java, What is multithreaded programming?,Multithreaded programming is one of the key features of java which allows multiple threads to execute their task simultaneously.,13
Java,What are the differences between static and non-static methods?,Static method is common to all instances of a class. Static methods are stored in the class memory. Where as non-static methods are stored in the object memory. Each instance of a class will have their own copy of non-static methods.,14
Java,What are the different ways of creating threads in java?,There are two ways to create the threads in java  By extending java.lang.Thread class.  By implementing java.lang.Runnable interface.,15
Java,What is synchronization in java?,Synchronization is a way of controlling the access of a method or a block by multiple threads. Only one thread can enter into a method or a block which has been declared as synchronized. Synchronization is one of the way to achieve thread safety.,16
Java,What is the use of final keyword in java?,"final keyword in java is used to restrict the modification of a class or a method or a variable. A final class can not be extended, a final method can not be overridden and we can not change the value of a final variable.",17
Java,What is garbage collection in java?,Removing unwanted objects or abandoned objects from the memory is called garbage collection. Garbage collection is done automatically in java. You need not to remove the unwanted objects explicitly. ,18
Java,What is cloning in java?,"Cloning is a process of creating an exact copy of an existing object in the memory. Cloning may be shallow or deep. In java, clone() method is used to create a clone of an object.",19
Java,What is javac ?,The javac is a compiler that compiles the source code of your program and generates bytecode. In simple words javac produces the java byte code from the source code written *.java file. JVM executes the bytecode to run the program.,20
Java,What is class?,A class is a blueprint or template or prototype from which you can create the object of that class. A class has set of properties and methods that are common to its objects.,21
Java,What is a wrapper class in Java?,Wrapper classes convert the Java primitives into the reference types (objects). Every primitive data type has a class dedicated to it. These are known as wrapper classes because they “wrap” the primitive data type into an object of that class,22
Java,What is Unicode?,Java uses Unicode to represent the characters. Unicode defines a fully international character set that can represent all of the characters found in human languages.,23
Java,What are Literals?,Any constant value that is assigned to a variable is called literal in Java.,24
Java,What is an Array?,An array is a collection (group) of fixed number of items. Array is a homogeneous data structure which means we can store multiple values of same type in an array but it can’t contain multiple values of different types.,25
Java,What is inheritance?,The process by which one class acquires the properties and functionalities of another class is called inheritance. Inheritance brings reusability of code in a java application,26
Java,What is method overriding in Java?,"When a sub class (child class) overrides the method of super class(parent class) then it is called overriding. To override a method, the signature of method in child class must match with the method signature in parent class.",27
Java,What is static and dynamic binding in Java?,Binding refers to the linking of method call to its body. A binding that happens at compile time is known as static binding while binding at runtime is known as dynamic binding.,28
Java,What is Encapsulation?,Wrapping of the data and code together is known as encapsulation.,29
Java,What is Interface in java?,"An interface is used for achieving full abstraction. A class implements an interface, thereby inheriting the abstract methods of the interface",30
Java,Can we mark constructors final?,"No, Constructor cannot be declared final.",31
Java,What is default and parameterized constructors?,"Constructors with no arguments are known as default constructors, when you don’t declare any constructor in a class, compiler creates a default one automatically.",32
Java,Can a constructor call another constructor?,Yes. A constructor can call the another constructor of same class using this keyword. For e.g. this() calls the default constructor.,33
Java,Can this keyword be assigned null value?,"No, this keyword cannot have null values assigned to it.",34
Java,Explain ways to pass the arguments in Java?,"In java, arguments can be passed as call by value – Java only supports call by value, there is no concept of call by reference in Java.",35
Java,What is singleton class and how can we make a class singleton?,"Singleton class is a class whose only one instance can be created at any given time, in one JVM. A class can be made singleton by making its constructor private.",36
Java,Is it possible to override a private or a static method in Java?,"No, there is no provision to override a private or static method in Java. However, you can use method hiding approach in extraordinary cases.",37
Java,What do you mean by association?,Association refers to a relationship where all the object of the class have got their own lifecycle and there is no owner as such. These relationships or associations as we call them can be one to one or one to many or many to one or many to many.,38
Java,Explain thread-safe code Singleton in Java?,"the answer for a code instance and stage by stage guide to generating thread-safe singleton code in Java. As soon as we say thread-safe, which means Singleton should continue singleton even if low-level formatting occurs in the case of numerous threads. Using Java enum as Singleton class is one of the simplest ways to generate a thread-safe singleton in Java.",39
Java,Is it possible to override a private or a static method in Java?,"No, there is no provision to override a private or static method in Java. However, you can use method hiding approach in extraordinary cases.",40
Java,What is a servlet?,In JAVA atmosphere a Java Servlet is a server-side technology used to extend the capability of the web servers by providing support for dynamic response and data persistence.,41
Java,What do you understand by Request Dispatcher?,"Request Dispatcher interface in JAVA is used to forward the request to another resource which can be HTML, JSP or any another servlet within the same application.",42
Java,Is it possible to generate array volatile in Java?,"Yes, you can generate an array volatile in Java but then again only the situation which is directing to an array, not the entire array. This means that, if one thread deviates the reference variable to directs to the extra array, that will offer a volatile assurance, but if multiple threads are altering separate array elements they won’t be having ensues before assurance offered by the volatile modifier.",43
Java,Explain the concept of interfaces in JAVA?,Interfaces are gentler in performance as likened to abstract classes as additional indirections are compulsory for interfaces. Additional key factor for designers to take into deliberation is that any class can spread only one abstract class through a class can implement numerous interfaces. Use of lines also places an additional burden on the developers at any time an interface is executed in a class; the developer is required to contrivance each and every technique of interface.,44
Java,Explain the meaning of thread local variable in Java?,"Thread-local variables are variables limited to a thread, it’s like thread’s individual copy which is not public between numerous threads. Java offers a Thread Local class to care thread-local variables. It’s one of the numerous ways to attain thread-safety. Though be cautious while using thread locally adjustable in managed environment e.g. with network servers where operative thread out lives somewhat application variable. Somewhat thread local variable which is not detached once its work is done can possibly reason a memory leak in Java application.",45
